text,class
К концу декабря более 100 000 солдат заняли свои позиции в готовности нанести удар из Беларуси и из Крыма.,1
Но ни один земли безвестный край,0
Отчего не смеет он,0
"Обновленная американская база для подводных лодок, строительство которой шло много лет, наконец заработала, и теперь больше американских субмарин могли действовать в сотрудничестве с норвежским флотом, чтобы вести наблюдение за крупным оплотом ядерной мощи России в 400 километрах к востоку, на Кольском полуострове.",1
И уж в сердце – Купидон!,0
"Хочу воспеть, как дух нечистый Ада",0
И теперь я – Селадон!,0
" За несколько месяцев до этого, когда пал Афганистан, Шольц в своей речи в Праге открыто поддержал призыв французского президента Эмманюэля Макрона проводить более независимую европейскую внешнюю политику.",1
"Вскричал Монах, остолбенев, бледнея. —",0
"Как, любви не зная бремя,",0
"Под вечер, как всюду тень,",0
"Вижу, в легком одеяньи",0
 Наименее привлекательной специальностью считается минно-подрывное дело.,1
"Уж темна ночь на небеса всходила,",0
Это свойство их – дивлюсь!,0
Монах идет – что ж? юбку видит он.,0
"Стороны думали, как выполнить задачу, не оставив при этом никаких следов, позволяющих догадаться, кто несет",1
написал ее один из наиболее известных американских журналистов в области расследований. Его материалы зачастую противоречили официальной линии,1
Некоторых планировщиков кажущаяся нерешительность президента возмутила и разочаровала.,1
Тобою лишь окружит тонкий стан.,0
 Для этого нужно было приспособить их к солености воды на этом участке.,1
"Взяв Анюты нежну руку,",0
"Но дай лишь мне твою златую лиру,",0
"Которым я в Жан д'Арке восхищаюсь,",0
"Белоснежну, полну грудь…",0
"Тогда у Белого дома появился новый запрос: ""Может, ребята на местах придумают другой способ взорвать трубопроводы - чтобы позже и по команде?"".",1
"Я желал бы, чтоб Назорой",0
"Я тобою полонен,",0
ЦРУ привыкло к произвольным переменам в последнюю минуту.,1
"Испачкавший простенки кабаков,",0
"По мнению НАТО и Вашингтона, ""Северный поток-1"" был весьма опасен.",1
Легким зефиром летал;,0
Но затем Вашингтон внезапно передумал.,1
На любезный женской пол;,0
Были важные бюрократические причины остановить выбор на выпускниках водолазного центра в Панама-Сити.,1
"И прелестей единственный покров,",0
Всей надежды я лишен.,0
"АНБ выяснило, что высокопоставленные офицеры ВМФ СССР даже не сомневались в безопасности своей линии связи и болтали друг с другом безо всякого шифрования.",1
Оседлан был брадатым стариком;,0
" И где они будут проходить подготовку - неужели в Эстонии, прямо по соседству с российскими терминалами по отгрузке природного газа? ""Это будет полная жопа"", - сообщили агентству.",1
"властей США, и у Херша сегодня есть немало критиков. Но сделавшие его известным публикации говорят за себя. Его имя прозвучало на весь мир в 1969",1
"По словам одного осведомленного источника, участникам стало ясно, что Салливан хочет, чтобы группа разработала план уничтожения двух газопроводов ""Северный поток"", и что он выполняет распоряжения президента.",1
"""Северный поток""",1
"«Помилуй мя» в полголоса читал,",0
"И ты стыдись, Печерской Лавры житель,",0
 С тех пор Соединенные Штаты полностью ему доверяют.,1
"Робко, сладостно дыханье,",0
" Водолазы установили на нем сложное подслушивающее устройство, успешно перехватили российские переговоры и записали их на пленку.",1
